Name,Email,Location
Noah,pestanoah@gmail.com,Ann Arbor
Sarah,sarah@gmail.com,East Lansing
Devin,devin@gmail.com,East Lansing
Greg,wef@gmail.com,East Lansing
Sarah,kmjk@gmail.com,East Lansing
Ian,kjijkm@gmail.com,East Lansing
Drew,ijokm@gmail.com,East Lansing
Matt,koiopok@gmail.com,East Lansing
Jerod,ikko@gmail.com,East Lansing
Sonja,joikjok@gmail.com,East Lansing
Jeff,ioj@gmail.com,East Lansing
Mike,yj@gmail.com,East Lansing
Michelle,ujhnmlk@gmail.com,East Lansing
Trev,jo@gmail.com,East Lansing
Derik,okp@gmail.com,East Lansing
